Data,Liczba_zakazen
04.03.2020,1
05.03.2020,1
06.03.2020,5
07.03.2020,6
08.03.2020,11
09.03.2020,17
10.03.2020,22
11.03.2020,31
12.03.2020,51
13.03.2020,68
14.03.2020,104
15.03.2020,125
16.03.2020,177
17.03.2020,238
18.03.2020,287
19.03.2020,355
20.03.2020,425
21.03.2020,536
22.03.2020,634
23.03.2020,749
24.03.2020,901
25.03.2020,1051
26.03.2020,1221
27.03.2020,1389
28.03.2020,1638
29.03.2020,1862
30.03.2020,2055
31.03.2020,2311
01.04.2020,2554
02.04.2020,2946
03.04.2020,3383
04.04.2020,3627
05.04.2020,4102
06.04.2020,4413
07.04.2020,4848
08.04.2020,5205
09.04.2020,5575
10.04.2020,5955
11.04.2020,6356
12.04.2020,6674
13.04.2020,6934
14.04.2020,7202
15.04.2020,7582
16.04.2020,7918
17.04.2020,8379
18.04.2020,8742
19.04.2020,9287
20.04.2020,9530
21.04.2020,9793
22.04.2020,10106
23.04.2020,10448
24.04.2020,10829
25.04.2020,11210
26.04.2020,11554
27.04.2020,11839
28.04.2020,12155
29.04.2020,12577
30.04.2020,12877
01.05.2020,13105
02.05.2020,13375
03.05.2020,13693
04.05.2020,14006
05.05.2020,14414
06.05.2020,14723
07.05.2020,15026
08.05.2020,15363
09.05.2020,15651
10.05.2020,15996
11.05.2020,16326
12.05.2020,16882
13.05.2020,17204
14.05.2020,17615
15.05.2020,18016
16.05.2020,18257
17.05.2020,18529
18.05.2020,18885
19.05.2020,19268
20.05.2020,19738
21.05.2020,20143
22.05.2020,20619
23.05.2020,20931
24.05.2020,21326
25.05.2020,21631
26.05.2020,22074
27.05.2020,22473
28.05.2020,22825
29.05.2020,23155
30.05.2020,23571
31.05.2020,23785
01.06.2020,24165
02.06.2020,24395
03.06.2020,24687
04.06.2020,25048
05.06.2020,25410
06.06.2020,25986
07.06.2020,26561
08.06.2020,27160
09.06.2020,27560
10.06.2020,27842
11.06.2020,28201
12.06.2020,28577
13.06.2020,29017
14.06.2020,29392
15.06.2020,29788
16.06.2020,30195
17.06.2020,30650
18.06.2020,30964
19.06.2020,31311
20.06.2020,31620
21.06.2020,31931
22.06.2020,32227
23.06.2020,32527
24.06.2020,32821
25.06.2020,33110
26.06.2020,33395
27.06.2020,33714
